service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","0","0","0","1","0","0","0","20260813","20260813"
"T0_1","0","0","0","0","1","0","0","20260814","20260814"
"T0_10","0","0","1","0","0","0","0","20260902","20260902"
"T0_11","1","1","1","1","1","0","0","20260903","20260912"
"T0_12","1","1","1","1","1","0","0","20260913","20260923"
"T0_13","0","0","0","1","0","0","0","20260924","20260924"
"T0_14","1","1","1","1","1","0","0","20260928","20261003"
"T0_15","1","1","1","1","1","0","0","20261005","20261031"
"T0_16","1","1","1","1","1","0","0","20261101","20261115"
"T0_2","1","1","0","0","0","0","0","20260817","20260818"
"T0_3","0","0","1","0","0","0","0","20260819","20260819"
"T0_4","0","0","0","1","0","0","0","20260820","20260820"
"T0_5","0","0","0","0","1","0","0","20260821","20260822"
"T0_6","1","1","1","0","0","0","0","20260824","20260826"
"T0_7","0","0","0","1","0","0","0","20260827","20260827"
"T0_8","0","0","0","0","1","0","0","20260828","20260828"
"T0_9","1","1","0","0","0","0","0","20260831","20260901"
"T0+WD08","0","0","0","1","0","0","0","20260903","20260912"
"T0+WD08_1","0","0","0","1","0","0","0","20260913","20260923"
"T0+WD08_2","0","0","0","1","0","0","0","20260928","20261003"
"T0+WD08_3","0","0","0","1","0","0","0","20261005","20261031"
"T0+WD08_4","0","0","0","1","0","0","0","20261101","20261115"
"T0+WD10","0","0","0","0","1","0","0","20260903","20260912"
"T0+WD10_1","0","0","0","0","1","0","0","20260913","20260923"
"T0+WD10_2","0","0","0","0","1","0","0","20260928","20261003"
"T0+WD10_3","0","0","0","0","1","0","0","20261005","20261031"
"T0+WD10_4","0","0","0","0","1","0","0","20261101","20261115"
"T2","0","0","0","0","0","1","0","20260815","20260815"
"T2_1","0","0","0","0","0","1","0","20260821","20260822"
"T2_2","0","0","0","0","0","1","0","20260829","20260829"
"T2_3","0","0","0","0","0","1","0","20260903","20260912"
"T2_4","0","0","0","0","0","1","0","20260913","20260923"
"T2_5","0","0","0","0","0","1","0","20260925","20260927"
"T2_6","0","0","0","0","0","1","0","20260928","20261003"
"T2_7","0","0","0","0","0","1","0","20261005","20261031"
"T2_8","0","0","0","0","0","1","0","20261101","20261115"
"T3","0","0","0","0","0","0","1","20260816","20260816"
"T3_1","0","0","0","0","0","0","1","20260823","20260823"
"T3_2","0","0","0","0","0","0","1","20260830","20260830"
"T3_3","0","0","0","0","0","0","1","20260903","20260912"
"T3_4","0","0","0","0","0","0","1","20260913","20260923"
"T3_5","0","0","0","0","0","0","1","20260925","20260927"
"T3_6","0","0","0","0","0","0","1","20261004","20261004"
"T3_7","0","0","0","0","0","0","1","20261005","20261031"
"T3_8","0","0","0","0","0","0","1","20261101","20261115"
